2026-09-25T22:58:07Z INFO Logging to /tmp/logs/update_2026-09-25T22-58-07Z.log.
2026-09-25T22:58:07Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-25T22:58:07Z INFO Processing 364 items (57656 already recorded).
2026-09-25T23:15:26Z INFO [121/364] 169f43d1-7601-47df-a939-c2ffd600f964: 118 chunks; 0.8 s; peak memory 553 MiB.
2026-09-25T23:15:27Z INFO [122/364] 16a0f595-79df-41de-9daf-0afe3af004b7: 46 chunks; 0.6 s; peak memory 553 MiB.
2026-09-25T23:15:28Z INFO [123/364] 16a16cf9-c2b3-48e9-93e4-b7518837bc63: 549 chunks; 1.0 s; peak memory 553 MiB.
2026-09-25T23:15:30Z INFO [124/364] 16a1f2e0-00a5-405e-b6fc-aa1624b7fe1f: 2618 chunks; 2.4 s; peak memory 553 MiB.
2026-09-25T23:15:34Z INFO [125/364] 16a2a3b4-d973-48ed-81fa-a07d141eb8c4: 8364 chunks; 3.5 s; peak memory 553 MiB.
2026-09-25T23:15:40Z INFO [126/364] 16a2a626-43bb-4154-935a-7a4fc82a368a: 11548 chunks; 5.7 s; peak memory 553 MiB.
2026-09-25T23:15:41Z INFO [127/364] 16a4cc06-ff3c-4ff7-ad4b-1a96043beaa7: 114 chunks; 1.4 s; peak memory 553 MiB.
2026-09-25T23:15:52Z INFO [128/364] 16a52a8b-3c45-4a57-acd9-360ef7f36cee: 25219 chunks; 11.0 s; peak memory 553 MiB.
2026-09-25T23:15:53Z INFO [129/364] 16a677fb-edfc-4669-8b49-b5310cc0f939: 74 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:15:53Z INFO [130/364] 16a68d90-eec9-40ef-a569-274a9cab3310: 48 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:15:54Z INFO [131/364] 16a6dae9-51f5-4b44-a72c-65cf3702c3d3: 48 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:15:54Z INFO [132/364] 16a7053a-ff0c-4316-971d-9405da0a2be3: 46 chunks; 0.4 s; peak memory 553 MiB.
2026-09-25T23:15:56Z INFO [133/364] 16a77e90-a7d4-4c71-9392-05d46085d89d: 71 chunks; 1.5 s; peak memory 553 MiB.
2026-09-25T23:15:57Z INFO [134/364] 16a7f4f2-dbb1-406e-aca9-34535fefe530: 71 chunks; 1.2 s; peak memory 553 MiB.
2026-09-25T23:15:58Z INFO [135/364] 16a9728d-5a65-4d70-973f-bd678fd9b60d: 117 chunks; 0.6 s; peak memory 553 MiB.
2026-09-25T23:15:58Z INFO [136/364] 16a9bb69-9d27-41f9-a133-f0c15f4de157: 48 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:15:59Z INFO [137/364] 16aa682a-6077-453f-a7f2-c24c0ce180a4: 62 chunks; 1.0 s; peak memory 553 MiB.
2026-09-25T23:16:06Z INFO [138/364] 16aa73f3-fd83-492e-be7a-03447d9c6e6d: 7814 chunks; 7.0 s; peak memory 553 MiB.
2026-09-25T23:16:12Z INFO [139/364] 16aaa9f4-483d-46c7-a292-dd11344664d4: 391 chunks; 5.6 s; peak memory 553 MiB.
2026-09-25T23:16:13Z INFO [140/364] 16abb126-b57a-458d-be22-d80748d35eee: 66 chunks; 1.0 s; peak memory 553 MiB.
2026-09-25T23:16:14Z INFO [141/364] 16abdfe6-505f-4049-8dc1-da6a1e0c6f60: 52 chunks; 0.6 s; peak memory 553 MiB.
2026-09-25T23:16:14Z INFO [142/364] 16ac06a1-1323-4a25-a2bf-083c9b6a2a35: 48 chunks; 0.6 s; peak memory 553 MiB.
2026-09-25T23:16:15Z INFO [143/364] 16ac07a8-9b1a-42e8-af99-2f699636f421: 302 chunks; 0.7 s; peak memory 553 MiB.
2026-09-25T23:16:16Z INFO [144/364] 16ac52b4-6811-440c-9ea4-fe787b9825b5: 113 chunks; 0.9 s; peak memory 553 MiB.
