2026-09-22T22:32:42Z INFO Logging to /tmp/logs/update_2026-09-22T22-32-42Z.log.
2026-09-22T22:32:42Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-22T22:32:43Z INFO Processing 351 items (54324 already recorded).
2026-09-22T22:38:50Z INFO [89/351] 0fadab91-ebda-434e-bb0d-4047b0f3eb6b: 66 chunks; 1.4 s; peak memory 300 MiB.
2026-09-22T22:38:52Z INFO [90/351] 0fadc820-7644-4ab6-9a76-c65f04f4fd7e: 64 chunks; 1.5 s; peak memory 300 MiB.
2026-09-22T22:39:02Z INFO [91/351] 0fadeb4d-9d13-4b9d-83de-b7b706787749: 10874 chunks; 9.9 s; peak memory 300 MiB.
2026-09-22T22:39:03Z INFO [92/351] 0fadfde6-1c91-4943-b5b2-d633fecd81e4: 48 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:39:06Z INFO [93/351] 0fae52fd-14c2-4c99-83bb-c94087ba46a4: 2005 chunks; 3.3 s; peak memory 300 MiB.
2026-09-22T22:39:07Z INFO [94/351] 0fafa9b6-484e-4fb4-8b05-c6517203b0b0: 117 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:39:11Z INFO [95/351] 0faffb9f-5ccf-4f73-9ec4-7641632852ae: 3019 chunks; 3.9 s; peak memory 300 MiB.
2026-09-22T22:39:13Z INFO [96/351] 0fb10060-3277-4a55-a906-6696d49045ca: 112 chunks; 1.3 s; peak memory 300 MiB.
2026-09-22T22:39:14Z INFO [97/351] 0fb12601-f6c5-4b9a-afa1-d151788bb310: 118 chunks; 1.3 s; peak memory 300 MiB.
2026-09-22T22:39:15Z INFO [98/351] 0fb1533a-7559-4521-80b5-a2e381e2541b: 112 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:39:16Z INFO [99/351] 0fb2013f-a638-4ce8-851b-f14738089d2b: 50 chunks; 0.7 s; peak memory 300 MiB.
2026-09-22T22:39:16Z INFO [100/351] 0fb2660e-d1bf-4944-bbdc-66c4c939a5a4: 46 chunks; 0.6 s; peak memory 300 MiB.
2026-09-22T22:39:17Z INFO [100/351] 0fb2660e-d1bf-4944-bbdc-66c4c939a5a4: checkpointed 54424 records.
2026-09-22T22:39:18Z INFO [101/351] 0fb377c7-4a5b-4951-84dc-0c1f36c1a008: 48 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:39:19Z INFO [102/351] 0fb42d69-b36d-4943-aeb7-4463c65af895: 48 chunks; 1.2 s; peak memory 300 MiB.
2026-09-22T22:39:20Z INFO [103/351] 0fb4a29c-079c-4c1c-9eae-f24be369a99e: 33 chunks; 0.7 s; peak memory 300 MiB.
2026-09-22T22:39:22Z INFO [104/351] 0fb5908b-a0b0-4223-ae15-992db4b5e2bc: 123 chunks; 2.3 s; peak memory 300 MiB.
2026-09-22T22:39:23Z INFO [105/351] 0fb5d015-dad2-4bb0-87c0-878dc08ab1a7: 35 chunks; 0.7 s; peak memory 300 MiB.
2026-09-22T22:39:41Z INFO [106/351] 0fb5dac8-6a91-4752-9879-14ea4e01cc4a: 6040 chunks; 18.0 s; peak memory 300 MiB.
2026-09-22T22:39:42Z INFO [107/351] 0fb6afea-c6f9-47f3-aa1f-56e3bb065997: 46 chunks; 0.9 s; peak memory 300 MiB.
2026-09-22T22:39:43Z INFO [108/351] 0fb78b87-06c2-48a2-ae1f-576b6a8e223d: 116 chunks; 1.0 s; peak memory 300 MiB.
2026-09-22T22:39:44Z INFO [109/351] 0fb81519-b47f-4c74-bec7-16b789e1e886: 46 chunks; 0.9 s; peak memory 300 MiB.
2026-09-22T22:39:45Z INFO [110/351] 0fb8923b-2294-4dec-ba63-baa9cb44ccf0: 114 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T22:39:46Z INFO [111/351] 0fb8959f-76f3-4f53-a77a-d9f4cd688755: 60 chunks; 1.1 s; peak memory 300 MiB.
2026-09-22T23:19:59Z INFO [112/351] 0fba2aba-e9cb-4023-9014-7da3b0cf788e: 1067686 chunks; 2412.9 s; peak memory 1184 MiB.
2026-09-22T23:20:00Z INFO [113/351] 0fba49b8-d6c2-4f6e-a7af-bf4d8fbe2ea2: 48 chunks; 1.3 s; peak memory 1184 MiB.
2026-09-22T23:20:01Z INFO [114/351] 0fba82b4-0651-44a9-8caa-ab5c90823119: 117 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:20:02Z INFO [115/351] 0fbc6fc1-f953-4d8c-baf1-0a8244033ada: 54 chunks; 0.8 s; peak memory 1184 MiB.
2026-09-22T23:20:03Z INFO [116/351] 0fbc864c-d713-4de6-86e6-985a1addc2fe: 48 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:20:04Z INFO [117/351] 0fbca6e7-db4f-4192-8838-11d582be1fd2: 117 chunks; 1.3 s; peak memory 1184 MiB.
2026-09-22T23:20:11Z INFO [118/351] 0fbe74a2-24f9-4e60-b10e-382c2379a6b4: 15630 chunks; 6.4 s; peak memory 1184 MiB.
2026-09-22T23:20:14Z INFO [119/351] 0fc00291-8236-4879-9b3f-cd0544454676: 736 chunks; 3.2 s; peak memory 1184 MiB.
2026-09-22T23:20:15Z INFO [120/351] 0fc10812-556e-4bab-a1b3-d94a4ab6326f: 46 chunks; 0.8 s; peak memory 1184 MiB.
2026-09-22T23:20:16Z INFO [121/351] 0fc1e298-abcb-4177-b27e-6bde900ba47b: 109 chunks; 1.3 s; peak memory 1184 MiB.
2026-09-22T23:20:17Z INFO [122/351] 0fc45ad4-3b96-4fc9-b133-1ab7dd88ee46: 116 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:20:18Z INFO [123/351] 0fc49ce1-2caa-4d99-9404-9a9f6c58690b: 52 chunks; 1.1 s; peak memory 1184 MiB.
2026-09-22T23:20:26Z INFO [124/351] 0fc5699d-9bbb-4bf9-9e09-4a83677edb83: 11642 chunks; 7.8 s; peak memory 1184 MiB.
2026-09-22T23:20:27Z INFO [125/351] 0fc5f4e5-1548-4e4f-92d4-d591a661679d: 45 chunks; 0.8 s; peak memory 1184 MiB.
2026-09-22T23:20:28Z INFO [126/351] 0fc634bc-63fa-4ea7-8d9c-c2a629cff2aa: 117 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:20:29Z INFO [127/351] 0fc67712-36a6-41d1-b1bf-cc128ee0da7b: 117 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:20:31Z INFO [128/351] 0fc6dbc5-ab15-4340-ad5c-cadf375589ba: 933 chunks; 2.2 s; peak memory 1184 MiB.
2026-09-22T23:20:32Z INFO [129/351] 0fc7221a-f2fe-4da4-a127-a8e226cf06ff: 42 chunks; 0.8 s; peak memory 1184 MiB.
2026-09-22T23:20:33Z INFO [130/351] 0fc784a3-5231-4039-9501-7e0fe88b1052: 52 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:20:35Z INFO [131/351] 0fc7c143-e8bf-4dc8-9852-ea673c491f5b: 52 chunks; 1.3 s; peak memory 1184 MiB.
2026-09-22T23:20:41Z INFO [132/351] 0fc7e22d-1ebe-44e3-a6c4-d2ff4d08bfb1: 2923 chunks; 5.9 s; peak memory 1184 MiB.
2026-09-22T23:20:42Z INFO [133/351] 0fc93de6-83c5-4ed1-842b-89d2cbef9d5b: 48 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:20:43Z INFO [134/351] 0fc96dd2-70ce-46af-81c7-0e5e9fcb9121: 48 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:20:44Z INFO [135/351] 0fc9eb51-3b3c-4631-8528-a686391364cb: 69 chunks; 1.3 s; peak memory 1184 MiB.
2026-09-22T23:20:46Z INFO [136/351] 0fca3647-eb8b-4d26-a86f-0975994df1da: 90 chunks; 2.5 s; peak memory 1184 MiB.
2026-09-22T23:20:50Z INFO [137/351] 0fca6ab6-0c1b-4b59-b36c-5356fcbb9022: 161 chunks; 3.1 s; peak memory 1184 MiB.
2026-09-22T23:20:50Z INFO [138/351] 0fcaa099-a248-47e1-ae71-d9eaf6253efc: 46 chunks; 0.8 s; peak memory 1184 MiB.
2026-09-22T23:20:51Z INFO [139/351] 0fcaa4d2-fa40-44c0-8dd3-8ebfdbf9365a: 52 chunks; 0.7 s; peak memory 1184 MiB.
2026-09-22T23:21:02Z INFO [140/351] 0fcaa68c-23ab-421e-be43-7308803d7689: 22747 chunks; 11.3 s; peak memory 1184 MiB.
2026-09-22T23:21:04Z INFO [141/351] 0fcaf8e4-b190-42ac-880b-2c38d7ac3048: 71 chunks; 1.8 s; peak memory 1184 MiB.
2026-09-22T23:21:05Z INFO [142/351] 0fcb449c-7eff-4335-91eb-7c88126496c1: 46 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:21:14Z INFO [143/351] 0fcb6d1e-3f39-4c24-845c-eff71ffe8877: 22798 chunks; 9.2 s; peak memory 1184 MiB.
2026-09-22T23:21:15Z INFO [144/351] 0fcc1c70-5591-4766-948c-9fee99737caa: 48 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:21:17Z INFO [145/351] 0fcc28c9-f1a7-4ef3-a854-fe1068eb0961: 116 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:21:18Z INFO [146/351] 0fcd0585-c099-4bac-919f-b55c24b5647b: 48 chunks; 1.1 s; peak memory 1184 MiB.
2026-09-22T23:21:19Z INFO [147/351] 0fce3941-cefb-442a-a733-0e0b3e29808b: 48 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:21:22Z INFO [148/351] 0fcf493c-0140-485f-9497-2927da425001: 115 chunks; 2.9 s; peak memory 1184 MiB.
2026-09-22T23:21:26Z INFO [149/351] 0fd1a1b6-ceb3-4430-a758-99b674776177: 4604 chunks; 4.7 s; peak memory 1184 MiB.
2026-09-22T23:21:28Z INFO [150/351] 0fd1b2f1-e4e0-41b9-bc62-d6dfe28b13ca: 112 chunks; 1.3 s; peak memory 1184 MiB.
2026-09-22T23:21:28Z INFO [150/351] 0fd1b2f1-e4e0-41b9-bc62-d6dfe28b13ca: checkpointed 54474 records.
2026-09-22T23:23:34Z INFO [151/351] 0fd29ed1-d604-4cce-a49f-09fc7a3b115a: 40973 chunks; 126.6 s; peak memory 1184 MiB.
2026-09-22T23:23:39Z INFO [152/351] 0fd2ac1d-11b2-4ea8-9fa6-cb98b91bfd33: 736 chunks; 4.5 s; peak memory 1184 MiB.
2026-09-22T23:23:40Z INFO [153/351] 0fd33ed5-d97a-4bd2-a2ec-1e0d2c0eb18a: 121 chunks; 1.1 s; peak memory 1184 MiB.
2026-09-22T23:23:48Z INFO [154/351] 0fd45bae-c6c1-43d2-b55b-9c65b796a903: 11635 chunks; 7.7 s; peak memory 1184 MiB.
2026-09-22T23:23:49Z INFO [155/351] 0fd45ebf-44b1-407a-8d25-d893e662cd56: 112 chunks; 1.1 s; peak memory 1184 MiB.
2026-09-22T23:23:50Z INFO [156/351] 0fd4ebc0-748f-406b-b5d4-33bbb9ffcd9a: 112 chunks; 1.5 s; peak memory 1184 MiB.
2026-09-22T23:23:51Z INFO [157/351] 0fd58ef9-8353-44a2-9a40-98587b525fcb: 46 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:23:52Z INFO [158/351] 0fd6550b-2086-4fec-948f-61f253522b5b: 46 chunks; 1.0 s; peak memory 1184 MiB.
2026-09-22T23:23:54Z INFO [159/351] 0fd67a66-5170-484b-b32f-1314ca36db2b: 275 chunks; 1.5 s; peak memory 1184 MiB.
2026-09-22T23:23:55Z INFO [160/351] 0fd89a2e-a37e-4fb8-a25d-bf301b2e8430: 275 chunks; 1.5 s; peak memory 1184 MiB.
2026-09-22T23:23:56Z INFO [161/351] 0fda4f2d-e9a3-45bb-ba1e-174cd89c3a8e: 62 chunks; 1.2 s; peak memory 1184 MiB.
2026-09-22T23:23:57Z INFO [162/351] 0fda52b4-917e-4a71-8602-25995f5d3c92: 46 chunks; 0.7 s; peak memory 1184 MiB.
2026-09-22T23:23:58Z INFO [163/351] 0fda8ad8-0e33-4012-a78d-30cf107f8876: 116 chunks; 1.1 s; peak memory 1184 MiB.
2026-09-22T23:23:59Z INFO [164/351] 0fdabba0-c0ba-40f5-b61c-f15654baa1ba: 48 chunks; 0.9 s; peak memory 1184 MiB.
2026-09-22T23:24:00Z INFO [165/351] 0fdace26-68e7-4065-bda6-c5a8eebcc971: 117 chunks; 1.1 s; peak memory 1184 MiB.
